Model: gan_vae | Dataset: degradation | Device: cuda
Output: /home/ze.qian/workspace/aug_diagnosis/outputs/data_aug/degradation/gan_vae/gan_vae_degradation_5feat_netd_v6_20260528_144417

=== Training ===

--- VAE-GAN class: normal (29 windows) ---
Epoch [ 80/250] | D_loss: 0.302918 | G_loss: 3.640124 | Recon: 0.109353 | MeanMatch: 0.136711 | RandMeanMatch: 1.581939 | KL: 796.449178
Epoch [ 90/250] | D_loss: 0.674660 | G_loss: 2.850434 | Recon: 0.111667 | MeanMatch: 0.173914 | RandMeanMatch: 1.531219 | KL: 794.445679
Epoch [100/250] | D_loss: 0.858216 | G_loss: 2.681190 | Recon: 0.108454 | MeanMatch: 0.191651 | RandMeanMatch: 1.422513 | KL: 712.358276
Epoch [110/250] | D_loss: 0.622982 | G_loss: 2.658077 | Recon: 0.102120 | MeanMatch: 0.162806 | RandMeanMatch: 1.319874 | KL: 657.238139
Epoch [120/250] | D_loss: 0.362292 | G_loss: 2.999337 | Recon: 0.102205 | MeanMatch: 0.186632 | RandMeanMatch: 1.299901 | KL: 605.030965
Epoch [130/250] | D_loss: 0.500726 | G_loss: 2.892446 | Recon: 0.091658 | MeanMatch: 0.178731 | RandMeanMatch: 1.374237 | KL: 644.269897
Epoch [140/250] | D_loss: 0.712918 | G_loss: 2.635472 | Recon: 0.115089 | MeanMatch: 0.155303 | RandMeanMatch: 1.324286 | KL: 781.356730
Epoch [150/250] | D_loss: 0.672374 | G_loss: 2.521141 | Recon: 0.102200 | MeanMatch: 0.202444 | RandMeanMatch: 1.253772 | KL: 456.956757
Epoch [160/250] | D_loss: 0.775147 | G_loss: 2.123981 | Recon: 0.070869 | MeanMatch: 0.099792 | RandMeanMatch: 1.135240 | KL: 364.649038
Epoch [170/250] | D_loss: 0.600599 | G_loss: 2.321265 | Recon: 0.093455 | MeanMatch: 0.151505 | RandMeanMatch: 1.065952 | KL: 405.324280
Epoch [180/250] | D_loss: 0.505508 | G_loss: 2.391047 | Recon: 0.096465 | MeanMatch: 0.157862 | RandMeanMatch: 0.987158 | KL: 400.550028
Epoch [190/250] | D_loss: 0.637133 | G_loss: 2.210377 | Recon: 0.088766 | MeanMatch: 0.181372 | RandMeanMatch: 0.945516 | KL: 381.847890
Epoch [200/250] | D_loss: 0.781318 | G_loss: 1.811606 | Recon: 0.081783 | MeanMatch: 0.183360 | RandMeanMatch: 0.861366 | KL: 327.156779
